iter	RMSE
0	10457.76808
1	9700.115651
2	9001.108618
3	8367.923596
4	7801.726962
5	7320.098564
6	6885.489012
7	6460.087541
8	6107.98382
9	5773.574937
10	5482.986583
11	5225.610272
12	5001.647992
13	4786.308
14	4595.898084
15	4415.211425
16	4262.421242
17	4125.527703
18	3993.0161
19	3885.7003
20	3780.448567
21	3697.425753
22	3625.916258
23	3551.273157
24	3490.331576
25	3427.078694
26	3380.092277
27	3323.620807
28	3278.052281
29	3239.718529
30	3195.319061
31	3159.359971
32	3132.852183
33	3107.961976
34	3078.201297
35	3055.430905
36	3037.004048
37	3017.583196
38	2997.22242
39	2978.870378
40	2952.521513
41	2936.079454
42	2920.40718
43	2906.704419
44	2893.893765
45	2883.395863
46	2867.636106
47	2853.02254
48	2845.558351
49	2833.682238
50	2824.499927
51	2804.428716
52	2789.235889
53	2778.423843
54	2757.274767
55	2744.938509
56	2733.656934
57	2724.628973
58	2714.612642
59	2700.086459
60	2683.916828
61	2676.207759
62	2662.148398
63	2652.743937
64	2642.20336
65	2633.658471
66	2617.776371
67	2611.573324
68	2604.154018
69	2595.102287
70	2588.45589
71	2582.616219
72	2573.139267
73	2561.975167
74	2557.485843
75	2551.217231
76	2546.62936
77	2534.9808
78	2528.893259
79	2521.005548
80	2508.53996
81	2495.084467
82	2490.464591
83	2484.756933
84	2479.928039
85	2466.824297
86	2460.680761
87	2455.533652
88	2452.588892
89	2448.631565
90	2436.324909
91	2432.67275
92	2428.602509
93	2418.132591
94	2413.413925
95	2403.131998
96	2398.35561
97	2391.555799
98	2385.558194
99	2376.189086
