iter	Passed	Remaining
0	29	2952
1	54	2663
2	91	2955
3	124	2989
4	153	2916
5	179	2819
6	208	2767
7	233	2683
8	258	2615
9	282	2539
10	310	2511
11	330	2424
12	350	2346
13	378	2323
14	403	2289
15	421	2215
16	446	2178
17	469	2138
18	491	2095
19	518	2072
20	539	2029
21	569	2019
22	606	2030
23	642	2035
24	661	1985
25	680	1936
26	697	1885
27	720	1853
28	745	1824
29	770	1798
30	795	1771
31	820	1742
32	849	1724
33	870	1688
34	890	1652
35	908	1615
36	928	1580
37	946	1543
38	963	1507
39	982	1474
40	1001	1440
41	1032	1425
42	1053	1396
43	1072	1364
44	1090	1333
45	1109	1302
46	1127	1271
47	1146	1241
48	1152	1199
49	1170	1170
50	1188	1141
51	1207	1114
52	1226	1087
53	1243	1059
54	1260	1031
55	1281	1006
56	1300	980
57	1317	954
58	1336	928
59	1347	898
60	1365	873
61	1384	848
62	1402	823
63	1420	798
64	1439	775
65	1457	750
66	1475	726
67	1494	703
68	1512	679
69	1532	656
70	1551	633
71	1573	611
72	1590	588
73	1608	565
74	1627	542
75	1646	519
76	1663	496
77	1682	474
78	1700	451
79	1725	431
80	1762	413
81	1799	394
82	1836	376
83	1864	355
84	1883	332
85	1901	309
86	1919	286
87	1937	264
88	1956	241
89	1974	219
90	1993	197
91	2013	175
92	2032	152
93	2050	130
94	2069	108
95	2087	86
96	2108	65
97	2133	43
98	2152	21
99	2172	0
